U+1F9D1 U+200D U+1F527	{ 🧑‍🔧 }	[ 技工, 機械工, 修理工 ]
U+1F468 U+200D U+1F527	{ 👨‍🔧 }	[ 男技工, 男機械工, 男修理工 ]
U+1F469 U+200D U+1F52C	{ 👩‍🔬 }	[ 女科學家 ]
U+1F9D1 U+200D U+1F52C	{ 🧑‍🔬 }	[ 科學家 ]
U+1F468 U+200D U+1F52C	{ 👨‍🔬 }	[ 男科學家 ]
U+1F469 U+200D U+1F3A8	{ 👩‍🎨 }	[ 女藝術家, 女畫家 ]
U+1F9D1 U+200D U+1F3A8	{ 🧑‍🎨 }	[ 藝術家, 畫家 ]
U+1F468 U+200D U+1F3A8	{ 👨‍🎨 }	[ 男藝術家, 男畫家 ]
U+1F469 U+200D U+1F692	{ 👩‍🚒 }	[ 女消防員 ]
U+1F9D1 U+200D U+1F692	{ 🧑‍🚒 }	[ 消防員 ]
U+1F468 U+200D U+1F692	{ 👨‍🚒 }	[ 男消防員 ]
U+1F469 U+200D U+2708 U+FE0F	{ 👩‍✈️ }	[ 女飛行員 ]
U+1F9D1 U+200D U+2708 U+FE0F	{ 🧑‍✈️ }	[ 飛行員 ]
U+1F468 U+200D U+2708 U+FE0F	{ 👨‍✈️ }	[ 男飛行員 ]
U+1F469 U+200D U+1F680	{ 👩‍🚀 }	[ 女宇航員, 女航天員, 女太空人 ]
U+1F9D1 U+200D U+1F680	{ 🧑‍🚀 }	[ 宇航員, 航天員, 太空人 ]
U+1F468 U+200D U+1F680	{ 👨‍🚀 }	[ 男宇航員, 男航天員, 男太空人 ]
U+1F469 U+200D U+2696 U+FE0F	{ 👩‍⚖️ }	[ 女法官 ]
U+1F9D1 U+200D U+2696 U+FE0F	{ 🧑‍⚖️ }	[ 法官 ]
U+1F468 U+200D U+2696 U+FE0F	{ 👨‍⚖️ }	[ 男法官 ]
U+1F470 U+200D U+2640 U+FE0F	{ 👰‍♀️ }	[ 婚紗女, 婚紗 ]
U+1F470	{ 👰 }	[ 婚紗人 ]
U+1F470 U+200D U+2642 U+FE0F	{ 👰‍♂️ }	[ 婚紗男 ]
U+1F935 U+200D U+2640 U+FE0F	{ 🤵‍♀️ }	[ 燕尾服女 ]
U+1F935	{ 🤵 }	[ 燕尾服人 ]
U+1F935 U+200D U+2642 U+FE0F	{ 🤵‍♂️ }	[ 燕尾服男, 燕尾服 ]
U+1F478	{ 👸 }	[ 公主 ]
U+1FAC5	{ 🫅 }	[ 王冠人 ]
U+1F934	{ 🤴 }	[ 王子 ]
U+1F977	{ 🥷 }	[ 忍者 ]
U+1F9B8 U+200D U+2640 U+FE0F	{ 🦸‍♀️ }	[ 女超級英雄 ]
U+1F9B8	{ 🦸 }	[ 超級英雄 ]
U+1F9B8 U+200D U+2642 U+FE0F	{ 🦸‍♂️ }	[ 男超級英雄 ]
U+1F9B9 U+200D U+2640 U+FE0F	{ 🦹‍♀️ }	[ 女反派 ]
U+1F9B9	{ 🦹 }	[ 反派 ]
U+1F9B9 U+200D U+2642 U+FE0F	{ 🦹‍♂️ }	[ 男反派 ]
U+1F936	{ 🤶 }	[ 聖誕夫人 ]
U+1F9D1 U+200D U+1F384	{ 🧑‍🎄 }	[ 聖誕人 ]
U+1F385	{ 🎅 }	[ 聖誕老人 ]
U+1F9D9 U+200D U+2640 U+FE0F	{ 🧙‍♀️ }	[ 女魔法師, 女巫]
U+1F9D9	{ 🧙 }	[ 魔法師, 巫師 ]
U+1F9D9 U+200D U+2642 U+FE0F	{ 🧙‍♂️ }	[ 男魔法師, 男巫 ]
U+1F9DD U+200D U+2640 U+FE0F	{ 🧝‍♀️ }	[ 女精靈 ]
U+1F9DD	{ 🧝 }	[ 精靈 ]
U+1F9DD U+200D U+2642 U+FE0F	{ 🧝‍♂️ }	[ 男精靈 ]
U+1F9CC	{ 🧌 }	[ 半獸人, 獸人, 巨魔, 巨怪 ]
U+1F9DB U+200D U+2640 U+FE0F	{ 🧛‍♀️ }	[ 女吸血鬼 ]
U+1F9DB	{ 🧛 }	[ 吸血鬼 ]
U+1F9DB U+200D U+2642 U+FE0F	{ 🧛‍♂️ }	[ 男吸血鬼 ]
U+1F9DF U+200D U+2640 U+FE0F	{ 🧟‍♀️ }	[ 殭屍女, 女殭屍 ]
U+1F9DF	{ 🧟 }	[ 殭屍 ]
U+1F9DF U+200D U+2642 U+FE0F	{ 🧟‍♂️ }	[ 殭屍男, 男殭屍 ]
U+1F9DE U+200D U+2640 U+FE0F	{ 🧞‍♀️ }	[ 女燈神, 女阿拉丁燈神, 女妖怪 ]
U+1F9DE	{ 🧞 }	[ 燈神, 阿拉丁燈神, 妖怪 ]
U+1F9DE U+200D U+2642 U+FE0F	{ 🧞‍♂️ }	[ 男燈神, 男阿拉丁燈神, 男妖怪 ]
U+1F9DC U+200D U+2640 U+FE0F	{ 🧜‍♀️ }	[ 美人魚 ]
U+1F9DC	{ 🧜 }	[ 人魚 ]
U+1F9DC U+200D U+2642 U+FE0F	{ 🧜‍♂️ }	[ 男人魚 ]
U+1F9DA U+200D U+2640 U+FE0F	{ 🧚‍♀️ }	[ 仙女, 女仙人, 女仙子 ]
U+1F9DA	{ 🧚 }	[ 仙人, 仙子 ]
U+1F9DA U+200D U+2642 U+FE0F	{ 🧚‍♂️ }	[ 男仙人, 男仙子 ]
U+1F47C	{ 👼 }	[ 天使, 天使嬰兒, 嬰兒天使 ]
U+1F930	{ 🤰 }	[ 孕婦, 妊娠, 懷孕, 大肚婆 ]
U+1FAC4	{ 🫄 }	[ 妊娠人士, 懷孕人士 ]
U+1FAC3	{ 🫃 }	[ 妊娠男, 懷孕男 ]
U+1F931	{ 🤱 }	[ 哺乳, 餵奶 ]
U+1F469 U+200D U+1F37C	{ 👩‍🍼 }	[ 餵奶 ]
U+1F9D1 U+200D U+1F37C	{ 🧑‍🍼 }	[ 餵奶 ]
U+1F468 U+200D U+1F37C	{ 👨‍🍼 }	[ 餵奶 ]
U+1F647 U+200D U+2640 U+FE0F	{ 🙇‍♀️ }	[ 鞠躬女 ]
U+1F647	{ 🙇 }	[ 鞠躬 ]
U+1F647 U+200D U+2642 U+FE0F	{ 🙇‍♂️ }	[ 鞠躬男 ]
U+1F481 U+200D U+2640 U+FE0F	{ 💁‍♀️ }	[ 女服務員 ]
U+1F481	{ 💁 }	[ 服務員 ]
U+1F481 U+200D U+2642 U+FE0F	{ 💁‍♂️ }	[ 男服務員 ]
U+1F645 U+200D U+2640 U+FE0F	{ 🙅‍♀️ }	[ 否決, 否定, 反對, 不可 ]
U+1F645	{ 🙅 }	[ 否決, 否定, 反對, 不可 ]
U+1F645 U+200D U+2642 U+FE0F	{ 🙅‍♂️ }	[ 否決, 否定, 反對, 不可 ]
U+1F646 U+200D U+2640 U+FE0F	{ 🙆‍♀️ }	[ 同意, 准許, 肯定 ]
U+1F646	{ 🙆 }	[ 同意, 准許, 肯定 ]
U+1F646 U+200D U+2642 U+FE0F	{ 🙆‍♂️ }	[ 同意, 准許, 肯定 ]
U+1F64B U+200D U+2640 U+FE0F	{ 🙋‍♀️ }	[ 舉手女 ]
U+1F64B	{ 🙋 }	[ 舉手 ]
U+1F64B U+200D U+2642 U+FE0F	{ 🙋‍♂️ }	[ 舉手男 ]
U+1F9CF U+200D U+2640 U+FE0F	{ 🧏‍♀️ }	[ 失聰女 ]
U+1F9CF	{ 🧏 }	[ 失聰, 耳聾 ]
U+1F9CF U+200D U+2642 U+FE0F	{ 🧏‍♂️ }	[ 失聰男 ]
U+1F926 U+200D U+2640 U+FE0F	{ 🤦‍♀️ }	[ 揞面女, 掩面女, 揞面, 掩面, 冇眼睇 ]
U+1F926	{ 🤦 }	[ 揞面, 掩面, 冇眼睇 ]
U+1F926 U+200D U+2642 U+FE0F	{ 🤦‍♂️ }	[ 揞面男, 掩面男, 揞面, 掩面, 冇眼睇 ]
U+1F937 U+200D U+2640 U+FE0F	{ 🤷‍♀️ }	[ 聳肩女, 唔知道, 我唔知 ]
U+1F937	{ 🤷 }	[ 聳肩, 唔知道, 我唔知 ]
U+1F937 U+200D U+2642 U+FE0F	{ 🤷‍♂️ }	[ 聳肩男, 唔知道, 我唔知 ]
U+1F64E U+200D U+2640 U+FE0F	{ 🙎‍♀️ }	[ 撅嘴女 ]
U+1F64E	{ 🙎 }	[ 撅嘴 ]
U+1F64E U+200D U+2642 U+FE0F	{ 🙎‍♂️ }	[ 撅嘴男 ]
U+1F64D U+200D U+2640 U+FE0F	{ 🙍‍♀️ }	[ 皺眉女 ]
U+1F64D	{ 🙍 }	[ 皺眉 ]
U+1F64D U+200D U+2642 U+FE0F	{ 🙍‍♂️ }	[ 皺眉男 ]
U+1F487 U+200D U+2640 U+FE0F	{ 💇‍♀️ }	[ 理髮女, 剪髮女, 理髮, 剪髮, 飛髮 ]
U+1F487	{ 💇 }	[ 理髮, 剪髮, 飛髮 ]
U+1F487 U+200D U+2642 U+FE0F	{ 💇‍♂️ }	[ 理髮男, 剪髮男, 理髮, 剪髮, 飛髮 ]
U+1F486 U+200D U+2640 U+FE0F	{ 💆‍♀️ }	[ 按摩女 ]
U+1F486	{ 💆 }	[ 按摩 ]
U+1F486 U+200D U+2642 U+FE0F	{ 💆‍♂️ }	[ 按摩男 ]
