嫲嫲	maa4 maa4
外婆	ngoi6 po4
老人	lou5 jan4
長者	zoeng2 ze2
老男人	lou5 naam4 jan2
老爺爺	lou5 je4 je2
爺爺	je4 je2
爺爺	je4 je4
阿爺	aa3 je4
阿公	aa3 gung1
公公	gung4 gung1
公公	gung1 gung1
老阿伯	lou5 aa3 baak3
阿伯	aa3 baak3
外公	ngoi6 gung1
瓜皮帽	gwaa1 pei4 mou2
頭巾女	tau4 gan1 neoi5
戴頭巾	daai3 tau4 gan1
頭巾	tau4 gan1
頭巾人	tau4 gan1 jan4
頭巾男	tau4 gan1 naam4
頭巾佬	tau4 gan1 lou2
包頭巾	baau1 tau4 gan1
女警察	neoi5 ging2 caat3
女差人	neoi5 caai1 jan4
差婆	caai1 po2
差婆	caai1 po4
警察	ging2 caat3
差人	caai1 jan4
男警察	naam4 ging2 caat3
男差人	naam4 caai1 jan4
差佬	caai1 lou2
女建築工人	neoi5 gin3 zuk1 gung1 jan4
建築工人	gin3 zuk1 gung1 jan4
男建築工人	naam4 gin3 zuk1 gung1 jan4
衛兵	wai6 bing1
守衛	sau2 wai6
女衛兵	neoi5 wai6 bing1
女守衛	neoi5 sau2 wai6
男衛兵	naam4 wai6 bing1
男守衛	naam4 sau2 wai6
女偵探	neoi5 zing1 taam3
偵探	zing1 taam3
男偵探	naam4 zing1 taam3
女醫護人員	neoi5 ji1 wu6 jan4 jyun4
女醫護	neoi5 ji1 wu6
女醫生	neoi5 ji1 sang1
女護士	neoi5 wu6 si6
醫護人員	ji1 wu6 jan4 jyun4
醫護	ji1 wu6
醫生	ji1 sang1
護士	wu6 si6
男醫護人員	naam4 ji1 wu6 jan4 jyun4
男醫護	naam4 ji1 wu6
男醫生	naam4 ji1 sang1
男護士	naam4 wu6 si6
女農民	neoi5 nung4 man4
農民	nung4 man4
男農民	naam4 nung4 man4
女廚師	neoi5 cyu4 si1
女廚師	neoi5 ceoi4 si1
廚師	cyu4 si1
廚師	ceoi4 si1
男廚師	naam4 cyu4 si1
男廚師	naam4 ceoi4 si1
女學生	neoi5 hok6 saang1
學生	hok6 saang1
男學生	naam4 hok6 saang1
女歌手	neoi5 go1 sau2
女藝人	neoi5 ngai6 jan4
歌手	go1 sau2
藝人	ngai6 jan4
男歌手	naam4 go1 sau2
男藝人	naam4 ngai6 jan4
女教師	neoi5 gaau3 si1
女老師	neoi5 lou5 si1
教師	gaau3 si1
老師	lou5 si1
男教師	naam4 gaau3 si1
男老師	naam4 lou5 si1
女工人	neoi5 gung1 jan4
工人	gung1 jan4
男工人	naam4 gung1 jan4
女技術人員	neoi5 gei6 seot6 jan4 jyun4
電腦女	din6 nou5 neoi5
技術人員	gei6 seot6 jan4 jyun4
電腦工	din6 nou5 gung1
電腦人	din6 nou5 jan4
男技術人員	naam4 gei6 seot6 jan4 jyun4
電腦男	din6 nou5 naam4
女職員	neoi5 zik1 jyun4
職員	zik1 jyun4
男職員	naam4 zik1 jyun4
女技工	neoi5 gei6 gung1
女機械工	neoi5 gei1 haai6 gung1
女修理工	neoi5 sau1 lei5 gung1
技工	gei6 gung1
機械工	gei1 haai6 gung1
修理工	sau1 lei5 gung1
男技工	naam4 gei6 gung1
男機械工	naam4 gei1 haai6 gung1
男修理工	naam4 sau1 lei5 gung1
女科學家	neoi5 fo1 hok6 gaa1
科學家	fo1 hok6 gaa1
男科學家	naam4 fo1 hok6 gaa1
女藝術家	neoi5 ngai6 seot6 gaa1
女畫家	neoi5 waa2 gaa1
藝術家	ngai6 seot6 gaa1
畫家	waa2 gaa1
男藝術家	naam4 ngai6 seot6 gaa1
男畫家	naam4 waa2 gaa1
女消防員	neoi5 siu1 fong4 jyun4
消防員	siu1 fong4 jyun4
男消防員	naam4 siu1 fong4 jyun4
女飛行員	neoi5 fei1 hang4 jyun4
飛行員	fei1 hang4 jyun4
男飛行員	naam4 fei1 hang4 jyun4
女宇航員	neoi5 jyu5 hong4 jyun4
女航天員	neoi5 hong4 tin1 jyun4
女太空人	neoi5 taai3 hung1 jan4
宇航員	jyu5 hong4 jyun4
航天員	hong4 tin1 jyun4
太空人	taai3 hung1 jan4
男宇航員	naam4 jyu5 hong4 jyun4
男航天員	naam4 hong4 tin1 jyun4
男太空人	naam4 taai3 hung1 jan4
女法官	neoi5 faat3 gun1
法官	faat3 gun1
男法官	naam4 faat3 gun1
婚紗女	fan1 saa1 neoi5
婚紗	fan1 saa1
婚紗人	fan1 saa1 jan4
婚紗男	fan1 saa1 naam4
燕尾服女	jin3 mei5 fuk6 neoi5
燕尾服人	jin3 mei5 fuk6 jan4
燕尾服男	jin3 mei5 fuk6 naam4
燕尾服	jin3 mei5 fuk6
公主	gung1 zyu2
王冠人	wong4 gun1 jan4
王子	wong4 zi2
忍者	jan2 ze2
女超級英雄	neoi5 ciu1 kap1 jing1 hung4
超級英雄	ciu1 kap1 jing1 hung4
男超級英雄	naam4 ciu1 kap1 jing1 hung4
女反派	neoi5 faan2 paai1
反派	faan2 paai3
反派	faan2 paai1
男反派	naam4 faan2 paai1
聖誕夫人	sing3 daan3 fu1 jan4
聖誕人	sing3 daan3 jan4
聖誕老人	sing3 daan3 lou5 jan4
女魔法師	neoi5 mo1 faat3 si1
女巫	neoi5 mou4
魔法師	mo1 faat3 si1
巫師	mou4 si1
男魔法師	naam4 mo1 faat3 si1
男巫	naam4 mou4
女精靈	neoi5 zing1 ling4
精靈	zing1 ling4
男精靈	naam4 zing1 ling4
半獸人	bun3 sau3 jan4
獸人	sau3 jan4
巨魔	geoi6 mo1
巨怪	geoi6 gwaai3
女吸血鬼	neoi5 kap1 hyut3 gwai2
吸血鬼	kap1 hyut3 gwai2
男吸血鬼	naam4 kap1 hyut3 gwai2
殭屍女	goeng1 si1 neoi5
女殭屍	neoi5 goeng1 si1
殭屍	goeng1 si1
殭屍男	goeng1 si1 naam4
男殭屍	naam4 goeng1 si1
女燈神	neoi5 dang1 san4
女阿拉丁燈神	neoi5 aa3 laai1 ding1 dang1 san4
女妖怪	neoi5 jiu1 gwaai3
燈神	dang1 san4
阿拉丁燈神	aa3 laai1 ding1 dang1 san4
妖怪	jiu1 gwaai3
妖怪	jiu2 gwaai3
男燈神	naam4 dang1 san4
男阿拉丁燈神	naam4 aa3 laai1 ding1 dang1 san4
男妖怪	naam4 jiu1 gwaai3
美人魚	mei5 jan4 jyu4
人魚	jan4 jyu4
男人魚	naam4 jan2 jyu4
仙女	sin1 neoi2
仙女	sin1 neoi5
女仙人	neoi5 sin1 jan4
女仙子	neoi5 sin1 zi2
仙子	sin1 zi2
仙人	sin1 jan4
男仙人	naam4 sin1 jan4
男仙子	naam4 sin1 zi2
天使嬰兒	tin1 si3 jing1 ji4
嬰兒天使	jing1 ji4 tin1 si3
孕婦	jan6 fu5
妊娠	jam6 san1
懷孕	waai4 jan6
大肚婆	daai6 tou5 po4
大肚婆	daai6 tou5 po2
大肚	daai6 tou5
妊娠人士	jam6 san1 jan4 si6
懷孕人士	waai4 jan6 jan4 si6
妊娠男	jam6 san1 naam4
懷孕男	waai4 jan6 naam4
哺乳	bou6 jyu5
餵奶	wai3 naai5
鞠躬女	guk1 gung1 neoi5
鞠躬	guk1 gung1
鞠躬男	guk1 gung1 naam4
女服務員	neoi5 fuk6 mou6 jyun4
服務員	fuk6 mou6 jyun4
男服務員	naam4 fuk6 mou6 jyun4
否決	fau2 kyut3
否定	fau2 ding6
反對	faan2 deoi3
不可	bat1 ho2
同意	tung4 ji3
准許	zeon2 heoi2
肯定	hang2 ding6
舉手女	geoi2 sau2 neoi5
舉手男	geoi2 sau2 naam4
失聰女	sat1 cung1 neoi5
失聰	sat1 cung1
耳聾	ji5 lung4
失聰男	sat1 cung1 naam4
揞面女	am2 min6 neoi5
掩面女	jim2 min6 neoi5
揞面	am2 min6
掩面	jim2 min6
揞面男	am2 min6 naam4
掩面男	jim2 min6 naam4
