鴉	aa1
銼冰	co3 bing1
錯誤	co3 ng6
錯愕	co3 ngok6
坐電梯	co5 din6 tai1
坐輪椅	co5 leon4 ji2
坐𨋢	co5 lip1
坐昇降機	co5 sing1 gong3 gei1
辵部	coek3 bou6
桌球	coek3 kau4
槍	coeng1
窗	coeng1
槍械	coeng1 haai6
窗口	coeng1 hau2
窗戶	coeng1 wu6
長笛	coeng4 dek2
長笛	coeng4 dek6
長笛	coeng4 dik6
長方	coeng4 fong1
長方形	coeng4 fong1 jing4
長褲	coeng4 fu3
場記	coeng4 gei3
場記板	coeng4 gei3 baan2
長頸鹿	coeng4 geng2 luk2
長頸鹿	coeng4 geng2 luk6
長鼓	coeng4 gu2
長曲棍球	coeng4 kuk1 gwan3 kau4
長條圖	coeng4 tiu4 tou4
長筒靴	coeng4 tung2 hoe1
彩虹	coi2 hung4
彩虹旗	coi2 hung4 kei4
彩色碎紙	coi2 sik1 seoi3 zi2
采字頭	coi2 zi6 tau4
菜	coi3
賽車	coi3 ce1
賽車比賽	coi3 ce1 bei2 coi3
菜刀	coi3 dou1
菜花	coi3 faa1
塞爾維亞	coi3 ji5 wai4 aa3
塞拉利昂	coi3 laai1 lei6 ngong4
賽馬	coi3 maa5
塞內加爾	coi3 noi6 gaa1 ji5
塞浦路斯	coi3 pou2 lou6 si1
塞舌爾	coi3 sit3 ji5
賽艇	coi3 teng5
賽艇男	coi3 teng5 naam4
賽艇女	coi3 teng5 neoi5
菜椒	coi3 ziu1
財	coi4
裁判	coi4 pun3
蒼鷹	cong1 jing1
蒼蠅	cong1 jing4
倉鼠	cong1 syu2
倉鼠頭	cong1 syu2 tau4
創可貼	cong3 ho2 tip3
牀	cong4
粗口	cou1 hau2
操縱桿	cou1 zung3 gon1
草	cou2
草花頭	cou2 faa1 tau4
草藥	cou2 joek6
草碼八	cou2 maa5 baat3
草碼七	cou2 maa5 cat1
草碼九	cou2 maa5 gau2
草碼一	cou2 maa5 jat1
草碼二	cou2 maa5 ji6
