鴉	aa1
垃圾桶	laap6 saap3 tung2
垃圾筒	laap6 saap3 tung2
垃圾筒	laap6 saap3 tung4
蠟燭	laap6 zuk1
辣	laat6
辣薑	laat6 goeng1
辣椒	laat6 ziu1
黎巴嫩	lai4 baa1 nyun6
禮拜堂	lai5 baai3 tong4
禮賓花	lai5 ban1 faa1
禮品	lai5 ban2
禮品盒	lai5 ban2 hap6
禮服	lai5 fuk6
禮盒	lai5 hap2
禮盒	lai5 hap6
禮物	lai5 mat6
禮帽	lai5 mou6
利是	lai6 si6
冧	lam1
冧你	lam1 nei5
立刀旁	lap6 dou1 pong4
立方	lap6 fong1
立方根	lap6 fong1 gan1
立陶宛	lap6 tou4 jyun2
硫化氫	lau4 faa3 hing1
硫化鈉	lau4 faa3 hing1
硫化銅	lau4 faa3 tung4
螻蛄	lau4 gu1
流口水	lau4 hau2 seoi2
流汗	lau4 hon6
流汗笑	lau4 hon6 siu3
流血	lau4 hyut3
流淚	lau4 leoi6
流淚貓	lau4 leoi6 maau1
流淚眼	lau4 leoi6 ngaan5
留尼旺	lau4 nei4 wong6
流星	lau4 sing1
硫酸	lau4 syun1
硫酸亞鐵	lau4 syun1 aa3 tit3
硫酸鋇	lau4 syun1 bui3
硫酸鉀	lau4 syun1 gaap3
硫酸氫鉀	lau4 syun1 hing1 gaap3
硫酸氫鈉	lau4 syun1 hing1 naap6
硫酸鈣	lau4 syun1 koi3
硫酸鋁	lau4 syun1 leoi5
硫酸鎂	lau4 syun1 mei5
硫酸鈉	lau4 syun1 naap6
硫酸銨	lau4 syun1 on2
硫酸鐵	lau4 syun1 tit3
硫酸銅	lau4 syun1 tung4
漏斗	lau6 dau2
溜溜球	lau6 lau6 kau4
梨	lei4
狸	lei4
離	lei4
離卦	lei4 gwaa3
理髮	lei5 faat3
理髮店	lei5 faat3 dim3
鯉魚旗	lei5 jyu4 kei4
脷	lei6
利比亞	lei6 bei2 aa3
利比里亞	lei6 bei2 lei5 aa3
利是	lei6 si6
叻	lek1
叻叻豬	lek1 lek1 zyu1
靚女	leng3 neoi2
靚女	leng3 neoi5
靚仔	leng3 zai2
嶺	leng5
驢	leoi4
雷暴	leoi4 bou6
雷達	leoi4 daat6
雷電	leoi4 din6
擂鼓	leoi4 gu2
雷雨	leoi4 jyu5
驢仔	leoi4 zai2
雷陣雨	leoi4 zan6 jyu5
累加	leoi5 gaa1
累加符號	leoi5 gaa1 fu4 hou6
旅館	leoi5 gun2
壘球	leoi5 kau4
淚流滿面	leoi6 lau4 mun5 min6
淚眼	leoi6 ngaan5
淚眼汪汪	leoi6 ngaan5 wong1 wong1
輪	leon4
輪渡	leon4 dou6
輪椅	leon4 ji2
輪椅人	leon4 ji2 jan4
輪椅男	leon4 ji2 naam4
輪椅女	leon4 ji2 neoi5
倫琴射線	leon4 kam4 se6 sin3
磷酸	leon4 syun1
磷酸二氫鉀	leon4 syun1 ji6 hing1 gaap3
磷酸二氫鈉	leon4 syun1 ji6 hing1 naap6
磷酸鈣	leon4 syun1 koi3
輪船	leon4 syun4
輪胎	leon4 toi1
輪滑鞋	leon4 waat6 haai4
栗	leot6
栗子	leot6 zi2
曆	lik6
力量	lik6 loeng6
蠊	lim4
蓮	lin4
鏈	lin4
蓮花	lin4 faa1
鏈結	lin4 git3
連衣裙	lin4 ji1 kwan4
蓮蓬頭	lin4 pung4 tau4
連乘	lin4 sing4
連乘符號	lin4 sing4 fu4 hou6
鏈鎖	lin4 so2
鏈索	lin4 sok3
連體衣	lin4 tai2 ji1
連接	lin4 zip3
鏈接	lin4 zip3
〇	ling4
鈴	ling4
零	ling4
零次方	ling4 ci3 fong1
零點	ling4 dim2
零點正	ling4 dim2 zing3
〇鍵	ling4 gin6
零鍵	ling4 gin6
菱形	ling4 jing4
菱形點心鑽	ling4 jing4 dim2 sam1 zyun3
零聲母	ling4 sing1 mou5
嶺	ling5
令和	ling6 wo4
𨋢	lip1
獵豹	lip6 paau3
列印	lit6 jan3
列印機	lit6 jan3 gei1
列支敦士登	lit6 zi1 deon1 si6 dang1
寮國	liu4 gwok3
螺	lo4
羅馬尼亞	lo4 maa5 nei4 aa3
羅網	lo4 mong5
羅剎國	lo4 saat3 gwok3
羅斯	lo4 si1
螺絲	lo4 si1
螺絲刀	lo4 si1 dou1
螺絲批	lo4 si1 pai1
𦧲脷	loe1 lei6
𦧲脷	loe2 lei6
兩重積分	loeng2 cung4 zik1 fan1
糧	loeng4
涼鞋	loeng4 haai4
糧食	loeng4 sik6
量體溫	loeng4 tai2 wan1
兩次方	loeng5 ci3 fong1
兩點	loeng5 dim2
兩點冰	loeng5 dim2 bing1
兩點半	loeng5 dim2 bun3
兩點水	loeng5 dim2 seoi2
兩點正	loeng5 dim2 zing3
兩點鐘	loeng5 dim2 zung1
兩個人	loeng5 go3 jan4
兩人	loeng5 jan4
兩儀	loeng5 ji4
兩畫	loeng5 waak6
來電	loi4 din6
來信	loi4 seon3
萊索托	loi4 sok3 tok3
酪梨	lok3 lei4
駱駝	lok3 to4
落大雨	lok6 daai6 jyu5
落大水	lok6 daai6 seoi2
落花生	lok6 faa1 sang1
落日	lok6 jat6
落葉	lok6 jip6
落雨	lok6 jyu5
落雨大	lok6 jyu5 daai6
落水	lok6 seoi2
落雪	lok6 syut3
狼	long4
狼頭	long4 tau4
浪	long6
驢	lou4
牢大	lou4 daai6
盧森堡	lou4 sam1 bou2
盧旺達	lou4 wong6 daat6
驢仔	lou4 zai2
老阿伯	lou5 aa3 baak3
老阿姨	lou5 aa3 ji1
老豆	lou5 dau6
老花鏡	lou5 faa1 geng3
老虎	lou5 fu2
老虎機	lou5 fu2 gei1
老薑	lou5 goeng1
老廣	lou5 gwong2
老人	lou5 jan4
老爺爺	lou5 je4 je2
老鷹	lou5 jing1
老母	lou5 mou2
老母	lou5 mou5
老男人	lou5 naam4 jan2
老女人	lou5 neoi5 jan2
老年人	lou5 nin4 jan4
老婆婆	lou5 po4 po2
老師	lou5 si1
老鼠	lou5 syu2
老鼠夾	lou5 syu2 gaap3
老鼠籠	lou5 syu2 lung4
老撾	lou5 wo1
露齒笑	lou6 ci2 siu3
露國	lou6 gwok3
路人	lou6 jan4
路人男	lou6 jan4 naam4
路人女	lou6 jan4 neoi5
露營	lou6 jing4
露西亞	lou6 sai1 aa3
路障	lou6 zoeng3
轆	luk1
鹿	luk2
六	luk6
綠	luk6
鹿	luk6
綠茶	luk6 caa4
六次方	luk6 ci3 fong1
六點	luk6 dim2
六點半	luk6 dim2 bun3
六點正	luk6 dim2 zing3
六點鐘	luk6 dim2 zung1
氯化亞鐵	luk6 faa3 aa3 tit3
氯化鋇	luk6 faa3 bui3
氯化鉀	luk6 faa3 gaap3
氯化氫	luk6 faa3 hing1
氯化鈣	luk6 faa3 koi3
氯化鋁	luk6 faa3 leoi5
氯化鎂	luk6 faa3 mei5
氯化鈉	luk6 faa3 naap6
氯化銀	luk6 faa3 ngan4
氯化銨	luk6 faa3 on2
氯化鋅	luk6 faa3 san1
氯化鐵	luk6 faa3 tit3
氯化銅	luk6 faa3 tung4
六分之一	luk6 fan6 zi1 jat1
六鍵	luk6 gin6
六角星	luk6 gok3 sing1
六穀	luk6 guk1
錄音	luk6 jam1
錄音版權	luk6 jam1 baan2 kyun4
錄音咪	luk6 jam1 mai1
錄影	luk6 jing2
錄影帶	luk6 jing2 daai2
錄影機	luk6 jing2 gei1
六萬	luk6 maan6
六芒星	luk6 mong4 sing1
綠心	luk6 sam1
綠色	luk6 sik1
綠色愛心	luk6 sik1 oi3 sam1
綠色書本	luk6 sik1 syu1 bun2
六索	luk6 sok3
綠書	luk6 syu1
氯酸鉀	luk6 syun1 gaap3
六筒	luk6 tung4
鹿仔	luk6 zai2
錄像	luk6 zoeng6
錄像帶	luk6 zoeng6 daai2
錄像機	luk6 zoeng6 gei1
窿	lung1
𥥅	lung1
龍	lung4
龍捲風	lung4 gyun2 fung1
龍蝦	lung4 haa1
龍門	lung4 mun4
龍頭	lung4 tau4
戀人	lyun2 jan4
戀愛旅館	lyun2 oi3 leoi5 gun2
聯合國	lyun4 hap6 gwok3
聯合王國	lyun4 hap6 wong4 gwok3
唔得	m4 dak1
唔等於	m4 dang2 jyu1
唔等如	m4 dang2 jyu4
唔掂	m4 dim6
唔忿	m4 fan5
唔歡喜	m4 fun1 hei2
唔該	m4 goi1
唔該晒	m4 goi1 saai3
唔可以	m4 ho2 ji5
唔開心	m4 hoi1 sam1
唔好	m4 hou2
唔好出聲	m4 hou2 ceot1 seng1
唔要	m4 jiu3
唔明	m4 ming4
唔啱	m4 ngaam1
唔愛	m4 oi3
唔使客氣	m4 sai2 haak3 hei3
唔想	m4 soeng2
唔舒服	m4 syu1 fuk6
唔同意	m4 tung4 ji3
唔制	m4 zai3
唔准	m4 zeon2
唔准抌垃圾	m4 zeon2 dam2 laap6 saap3
媽	maa1
媽媽	maa1 maa1
媽咪	maa1 mi1
媽咪	maa1 mi4
麻煩	maa4 faan4
麻鷹	maa4 jing1
媽媽	maa4 maa1
嫲嫲	maa4 maa4
麻雀	maa4 zoek2
麻雀	maa4 zoek3
麻雀背面	maa4 zoek3 bui3 min6
麻將	maa4 zoeng3
傌	maa5
馬	maa5
馬達加斯加	maa5 daat6 gaa1 si1 gaa1
瑪黛	maa5 doi6
瑪黛茶	maa5 doi6 caa4
馬蜂	maa5 fung1
馬戲團	maa5 hei3 tyun4
馬恩島	maa5 jan1 dou2
馬爾代夫	maa5 ji5 doi6 fu1
馬耳他	maa5 ji5 taa1
馬約特島	maa5 joek3 dak6 dou2
馬拉	maa5 laai1
馬拉維	maa5 laai1 wai4
馬騮	maa5 lau1
馬騮頭	maa5 lau1 tau4
馬騮仔	maa5 lau1 zai2
馬里	maa5 lei5
馬鈴薯	maa5 ling4 syu4
馬來	maa5 loi4
馬來亞	maa5 loi4 aa3
馬來西亞	maa5 loi4 sai1 aa3
螞蟻	maa5 ngai5
碼農	maa5 nung4
馬術	maa5 seot6
馬紹爾羣島	maa5 siu6 ji5 kwan4 dou2
馬提尼克	maa5 tai4 nei4 hak1
馬頭	maa5 tau4
馬桶	maa5 tung2
馬桶吸	maa5 tung2 kap1
碼字	maa5 zi6
買餸	maai5 sung3
買餸車	maai5 sung3 ce1
擘口	maak3 hau2
擘嘴	maak3 zeoi2
蔓菁	maan4 zing1
晚黑	maan5 hak1
萬分	maan6 fan6
萬分號	maan6 fan6 hou6
萬聖節	maan6 sing3 zit3
萬字夾	maan6 zi6 gaap3
萬字夾	maan6 zi6 gep2
萬字夾	maan6 zi6 gep6
盲人	maang4 jan4
盲人男	maang4 jan4 naam4
盲人女	maang4 jan4 neoi5
盲男	maang4 naam4
盲女	maang4 neoi5
猛禽	maang5 kam4
猛獁象	maang5 maa5 zoeng6
孟加拉	maang6 gaa1 laai1
孟加拉國	maang6 gaa1 laai1 gwok3
襪	maat6
貓	maau1
貓熊	maau1 hung4
貓貓	maau1 maau1
貓咪	maau1 mi1
貓頭	maau1 tau4
貓頭鷹	maau1 tau4 jing1
貓仔	maau1 zai2
貓字邊	maau1 zi6 bin1
貓字旁	maau1 zi6 pong4
錨	maau4
茅棚	maau4 paang4
茅屋	maau4 uk1
牡蠣	maau5 lai6
咪	mai1
咪高峯	mai1 gou1 fung1
咪高風	mai1 gou1 fung1
迷戀	mai4 lyun2
迷霧	mai4 mou6
迷你光碟	mai4 nei5 gwong1 dip2
迷你光盤	mai4 nei5 gwong1 pun2
迷糊	mai4 wu4
米	mai5
米餅	mai5 beng2
米飯	mai5 faan6
米穀	mai5 guk1
米果	mai5 gwo2
米國	mai5 gwok3
米印	mai5 jan3
米利堅	mai5 lei6 gin1
米穗	mai5 seoi6
米字	mai5 zi6
墨	mak6
墨超	mak6 ciu1
墨鏡	mak6 geng3
墨魚	mak6 jyu4
墨西哥	mak6 sai1 go1
墨西哥夾餅	mak6 sai1 go1 gaap3 beng2
墨西哥捲	mak6 sai1 go1 gyun2
墨西哥捲餅	mak6 sai1 go1 gyun2 beng2
墨西哥糉	mak6 sai1 go1 zung2
蚊	man1
蚊蟲	man1 cung4
蚊子	man1 zi2
文	man4
蚊	man4
蚊蟲	man4 cung4
文件夾	man4 gin2 gaap3
文件櫃	man4 gin2 gwai6
民國	man4 gwok3
文萊	man4 loi4
蚊子	man4 zi2
吻	man5
問	man6
問號	man6 hou2
問號	man6 hou6
蜜	mat6
襪	mat6
蜜蜂	mat6 fung1
蜜罐	mat6 gun3
蜜瓜	mat6 gwaa1
密克羅尼西亞	mat6 hak1 lo4 nei4 sai1 aa3
勿擾	mat6 jiu5
蜜糖	mat6 tong4
蜜桃	mat6 tou4
某	mau5
某字	mau5 zi6
眯埋眼	mei1 maai4 ngaan5
眯眼	mei1 ngaan5
眯眼𡃶	mei1 ngaan5 sek3
麋	mei4
獼猴	mei4 hau4
眉開眼笑	mei4 hoi1 ngaan5 siu3
眉月	mei4 jyut6
麋鹿	mei4 luk2
麋鹿	mei4 luk6
微微不滿	mei4 mei4 bat1 mun5
微微皺眉	mei4 mei4 zau3 mei4
微笑	mei4 siu3
微笑貓	mei4 siu3 maau1
美	mei5
美甲	mei5 gaap3
美金	mei5 gam1
美國	mei5 gwok3
美人魚	mei5 jan4 jyu4
美元	mei5 jyun4
美利堅	mei5 lei6 gin1
美利堅合衆國	mei5 lei6 gin1 hap6 zung3 gwok3
美味	mei5 mei6
美女	mei5 neoi5
美式橄欖球	mei5 sik1 gam2 laam5 kau4
美屬處女羣島	mei5 suk6 cyu2 neoi5 kwan4 dou2
美屬薩摩亞	mei5 suk6 saat3 mo1 aa3
美屬維京羣島	mei5 suk6 wai4 ging1 kwan4 dou2
美洲	mei5 zau1
美洲駝	mei5 zau1 to4
味精	mei6 zing1
名卡	meng2 kaa1
名卡	meng2 kaat1
名咭	meng2 kaat1
綿羊	min4 joeng4
免打擾	min5 daa2 jiu5
緬甸	min5 din6
免費	min5 fai3
免擾	min5 jiu5
麪	min6
麪包	min6 baau1
麪包車	min6 baau1 ce1
麪包圈	min6 baau1 hyun1
麪餅	min6 beng2
面紅	min6 hung4
面無表情	min6 mou4 biu2 cing4
面目猙獰	min6 muk6 zang1 ning4
麪條	min6 tiu4
面震	min6 zan3
名	ming4
名卡	ming4 kaa1
名卡	ming4 kaat1
名咭	ming4 kaat1
名牌	ming4 paai2
明治	ming4 zi6
冥想	ming5 soeng2
冥想男	ming5 soeng2 naam4
冥想女	ming5 soeng2 neoi5
命令	ming6 ling6
滅火	mit6 fo2
滅火器	mit6 fo2 hei3
滅火筒	mit6 fo2 tung2
苗	miu4
秒錶	miu5 biu1
魔法棍	mo1 faat3 gwan3
魔法棒	mo1 faat3 paang5
魔法師	mo1 faat3 si1
魔鏡	mo1 geng3
摩爾多瓦	mo1 ji5 do1 ngaa5
摩羯座	mo1 kit3 zo6
摩洛哥	mo1 lok3 go1
摩納哥	mo1 naap6 go1
魔術帽	mo1 seot6 mou6
摩天輪	mo1 tin1 leon4
摩托	mo1 tok3
摩托車	mo1 tok3 ce1
摩托艇	mo1 tok3 teng5
蘑菇	mo4 gu1
莫桑比克	mok6 song1 bei2 hak1
杧	mong1
杧果	mong1 gwo2
網	mong5
蟒	mong5
網球	mong5 kau4
網絡	mong5 lok3
網字頭	mong5 zi6 tau4
望	mong6
望下	mong6 haa5
望遠鏡	mong6 jyun5 geng3
望月	mong6 jyut6
望望	mong6 mong6
毛	mou4
無	mou4
無版權	mou4 baan2 kyun4
毛蟲	mou4 cung4
無峯駝	mou4 fung1 to4
無軌電車	mou4 gwai2 din6 ce1
無葉樹	mou4 jip6 syu6
無語	mou4 jyu5
無窮	mou4 kung4
無窮大	mou4 kung4 daai6
毛里求斯	mou4 lei5 kau4 si1
毛里塔尼亞	mou4 lei5 taap3 nei4 aa3
無尾熊	mou4 mei5 hung4
毛毛蟲	mou4 mou4 cung4
無奈	mou4 noi6
巫師	mou4 si1
毛線	mou4 sin3
無線	mou4 sin3
無線網	mou4 sin3 mong5
無線網絡	mou4 sin3 mong5 lok3
毛線團	mou4 sin3 tyun4
無話可說	mou4 waa6 ho2 syut3
模糊	mou4 wu4
蕪菁	mou4 zing1
冇錯	mou5 co3
冇電	mou5 din6
舞蹈	mou5 dou6
舞蹈家	mou5 dou6 gaa1
武器	mou5 hei3
冇嘢講	mou5 je5 gong2
冇嘢好講	mou5 je5 hou2 gong2
冇來信	mou5 loi4 seon3
冇問題	mou5 man6 tai4
舞女	mou5 neoi2
冇眼睇	mou5 ngaan5 tai2
冇晒電	mou5 saai3 din6
武術服	mou5 seot6 fuk6
冇嘴	mou5 zeoi2
拇指	mou5 zi2
拇指向下	mou5 zi2 hoeng3 haa6
墓	mou6
帽	mou6
霧	mou6
墓碑	mou6 bei1
霧橋	mou6 kiu4
梅	mui4
梅花	mui4 faa1
梅花鹿	mui4 faa1 luk2
梅花鹿	mui4 faa1 luk6
玫瑰	mui4 gwai3
玫瑰花	mui4 gwai3 faa1
玫瑰花結	mui4 gwai3 faa1 git3
木	muk6
木柴	muk6 caai4
目瞪口呆	muk6 cing4 hau2 ngoi4
木頭	muk6 tau4
門	mun4
門松	mun4 cung4
門口	mun4 hau2
門票	mun4 piu3
門匙	mun4 si4
門戶	mun4 wu6
滿	mun5
滿分	mun5 fan1
滿意	mun5 ji3
滿月	mun5 jyut6
滿足	mun5 zuk1
蒙	mung4
蒙特塞拉特	mung4 dak6 sak1 laai1 dak6
蒙古	mung4 gu2
蒙古國	mung4 gu2 gwok3
奶	naai5
奶茶	naai5 caa4
奶油	naai5 jau4
奶酪	naai5 lok3
奶酪火鍋	naai5 lok3 fo2 wo1
奶牛	naai5 ngau4
奶瓶	naai5 ping4
奶黃	naai5 wong4
奶嘴	naai5 zeoi2
奶樽	naai5 zeon1
南	naam4
男	naam4
男阿拉丁燈神	naam4 aa3 laai1 ding1 dang1 san4
男差人	naam4 caai1 jan4
男廚師	naam4 ceoi4 si1
男超級英雄	naam4 ciu1 kap1 jing1 hung4
南朝鮮	naam4 ciu4 sin1
男廚師	naam4 cyu4 si1
男大夫	naam4 daai6 fu1
男燈神	naam4 dang1 san4
男反派	naam4 faan2 paai1
男法官	naam4 faat3 gun1
男法師	naam4 faat3 si1
南非	naam4 fei1
男飛行員	naam4 fei1 hang4 jyun4
男科學家	naam4 fo1 hok6 gaa1
男教師	naam4 gaau3 si1
男機械工	naam4 gei1 haai6 gung1
男機長	naam4 gei1 zoeng2
男技工	naam4 gei6 gung1
南極	naam4 gik6
南極洲	naam4 gik6 zau1
男建築工	naam4 gin3 zuk1 gung1
男建築工人	naam4 gin3 zuk1 gung1 jan4
男警察	naam4 ging2 caat3
男歌手	naam4 go1 sau2
男殭屍	naam4 goeng1 si1
南高麗	naam4 gou1 lai6
男姑娘	naam4 gu1 noeng4
男工人	naam4 gung1 jan4
南瓜	naam4 gwaa1
南瓜燈	naam4 gwaa1 dang1
南瓜燈籠	naam4 gwaa1 dang1 lung4
男孩	naam4 haai4
男鞋	naam4 haai4
男行人	naam4 hang4 jan4
男靴	naam4 hoe1
男孩	naam4 hoi4
男學生	naam4 hok6 saang1
南韓	naam4 hon4
男航天員	naam4 hong4 tin1 jyun4
男人	naam4 jan2
男人魚	naam4 jan2 jyu4
男人	naam4 jan4
男醫生	naam4 ji1 sang1
男醫護	naam4 ji1 wu6
男醫護人員	naam4 ji1 wu6 jan4 jyun4
男宇航員	naam4 jyu5 hong4 jyun4
男員工	naam4 jyun4 gung1
男吸血鬼	naam4 kap1 hyut3 gwai2
男老師	naam4 lou5 si1
男路人	naam4 lou6 jan4
男盲人	naam4 maang4 jan4
男魔法師	naam4 mo1 faat3 si1
男巫	naam4 mou4
男舞蹈家	naam4 mou5 dou6 gaa1
男帽	naam4 mou6
男藝人	naam4 ngai6 jan4
男藝術家	naam4 ngai6 seot6 gaa1
男農民	naam4 nung4 man4
男神探	naam4 san4 taam3
男修理工	naam4 sau1 lei5 gung1
男守衛	naam4 sau2 wai6
男士	naam4 si6
男仙人	naam4 sin1 jan4
男仙子	naam4 sin1 zi2
男性	naam4 sing3
男消防員	naam4 siu1 fong4 jyun4
南蘇丹	naam4 sou1 daan1
男太空人	naam4 taai3 hung1 jan4
男探長	naam4 taam3 zoeng2
男同	naam4 tung4
男童	naam4 tung4
男同性戀	naam4 tung4 sing3 lyun2
男畫家	naam4 waa2 gaa1
男衛兵	naam4 wai6 bing1
男衛士	naam4 wai6 si6
男護士	naam4 wu6 si6
男子	naam4 zi2
男職員	naam4 zik1 jyun4
男精靈	naam4 zing1 ling4
男偵探	naam4 zing1 taam3
南朝鮮	naam4 ziu1 sin1
南佐治亞及南三文治	naam4 zo3 zi6 aa3 kap6 naam4 saam1 man4 zi6
男裝	naam4 zong1
難頂	naan4 ding2
難過	naan4 gwo3
難以置信	naan4 ji5 zi3 seon3
難受	naan4 sau6
納米比亞	naap6 mai5 bei2 aa3
捺	naat6
鬧人	naau6 jan4
鬧鐘	naau6 zung1
泥鏟	nai4 caan2
泥水佬	nai4 seoi2 lou2
諗	nam2
諗嘢	nam2 je5
諗唔通	nam2 m4 tung1
粒糖	nap1 tong2
嬲	nau1
惱	nau1
嬲爆	nau1 baau3
惱爆	nau1 baau3
嬲爆爆	nau1 baau3 baau3
惱爆爆	nau1 baau3 baau3
嬲嬲	nau1 nau1
惱惱	nau1 nau1
紐埃	nau2 oi1
紐西蘭	nau2 sai1 laan4
尼泊爾	nei4 bok6 ji5
尼加拉瓜	nei4 gaa1 laai1 gwaa1
獼猴	nei4 hau4
獼猴桃	nei4 hau4 tou2
獼猴桃	nei4 hau4 tou4
尼日爾	nei4 jat6 ji5
尼日利亞	nei4 jat6 lei6 aa3
你	nei5
你好	nei5 hou2
女	neoi5
女阿拉丁燈神	neoi5 aa3 laai1 ding1 dang1 san4
女差人	neoi5 caai1 jan4
女廚師	neoi5 ceoi4 si1
女超級英雄	neoi5 ciu1 kap1 jing1 hung4
女廚師	neoi5 cyu4 si1
女大夫	neoi5 daai6 fu1
女燈神	neoi5 dang1 san4
女反派	neoi5 faan2 paai1
女法官	neoi5 faat3 gun1
女法師	neoi5 faat3 si1
女飛行員	neoi5 fei1 hang4 jyun4
女科學家	neoi5 fo1 hok6 gaa1
女教師	neoi5 gaau3 si1
女機械工	neoi5 gei1 haai6 gung1
女機長	neoi5 gei1 zoeng2
女技工	neoi5 gei6 gung1
女建築工	neoi5 gin3 zuk1 gung1
女建築工人	neoi5 gin3 zuk1 gung1 jan4
女警察	neoi5 ging2 caat3
女歌手	neoi5 go1 sau2
女殭屍	neoi5 goeng1 si1
女工人	neoi5 gung1 jan4
女光頭	neoi5 gwong1 tau4
女孩	neoi5 haai4
女鞋	neoi5 haai4
女行人	neoi5 hang4 jan4
女孩	neoi5 hoi4
女學生	neoi5 hok6 saang1
女航天員	neoi5 hong4 tin1 jyun4
女人	neoi5 jan2
女人	neoi5 jan4
女醫生	neoi5 ji1 sang1
女醫護	neoi5 ji1 wu6
女醫護人員	neoi5 ji1 wu6 jan4 jyun4
女兒節	neoi5 ji4 zit3
女英雄	neoi5 jing1 hung4
女宇航員	neoi5 jyu5 hong4 jyun4
女員工	neoi5 jyun4 gung1
女吸血鬼	neoi5 kap1 hyut3 gwai2
女老師	neoi5 lou5 si1
女路人	neoi5 lou6 jan4
女盲人	neoi5 maang4 jan4
女魔法師	neoi5 mo1 faat3 si1
女巫	neoi5 mou4
女舞蹈家	neoi5 mou5 dou6 gaa1
女帽	neoi5 mou6
女藝人	neoi5 ngai6 jan4
女藝術家	neoi5 ngai6 seot6 gaa1
女農民	neoi5 nung4 man4
女神探	neoi5 san4 taam3
女生	neoi5 sang1
女修理工	neoi5 sau1 lei5 gung1
女守衛	neoi5 sau2 wai6
女士	neoi5 si6
女仙人	neoi5 sin1 jan4
女仙子	neoi5 sin1 zi2
女性	neoi5 sing3
女消防員	neoi5 siu1 fong4 jyun4
女太空人	neoi5 taai3 hung1 jan4
女探長	neoi5 taam3 zoeng2
女同	neoi5 tung4
女童	neoi5 tung4
女同性戀	neoi5 tung4 sing3 lyun2
女畫家	neoi5 waa2 gaa1
女衛兵	neoi5 wai6 bing1
女衛士	neoi5 wai6 si6
女護士	neoi5 wu6 si6
女子	neoi5 zi2
女職員	neoi5 zik1 jyun4
女精靈	neoi5 zing1 ling4
女偵探	neoi5 zing1 taam3
女裝	neoi5 zong1
五	ng5
五次方	ng5 ci3 fong1
五點	ng5 dim2
五點半	ng5 dim2 bun3
五點正	ng5 dim2 zing3
五點鐘	ng5 dim2 zung1
五分之一	ng5 fan6 zi1 jat1
五鍵	ng5 gin6
五角星	ng5 gok3 sing1
五穀	ng5 guk1
五弦琴	ng5 jin4 kam4
五氧化二磷	ng5 joeng5 faa3 ji6 leon4
五萬	ng5 maan6
五十	ng5 sap6
五星紅旗	ng5 sing1 hung4 kei4
五索	ng5 sok3
五筒	ng5 tung4
五畫	ng5 waak6
五指	ng5 zi2
誤	ng6
牙	ngaa4
芽	ngaa4
牙刷	ngaa4 caat3
牙擦	ngaa4 caat3
牙齒	ngaa4 ci2
牙買加	ngaa4 maai5 gaa1
牙刷	ngaa4 saat3
瓦肯舉手禮	ngaa5 hang2 geoi2 sau2 lai5
瓦利斯及富圖納羣島	ngaa5 lei6 si1 kap6 fu3 tou4 naap6 kwan4 dou2
瓦努阿圖	ngaa5 nou5 aa3 tou4
捱夜	ngaai4 je2
捱夜	ngaai4 je6
𧦠人	ngaak1 jan4
𧦠人精	ngaak1 jan4 zing1
啱	ngaam1
啱我心水	ngaam1 ngo5 sam1 seoi2
啱晒	ngaam1 saai3
啱心水	ngaam1 sam1 seoi2
岩石	ngaam4 sek6
眼	ngaan5
眼袋	ngaan5 doi6
眼睏	ngaan5 fan3
眼瞓	ngaan5 fan3
眼放電	ngaan5 fong3 din6
眼鏡	ngaan5 geng2
眼鏡	ngaan5 geng3
眼鏡仔	ngaan5 geng3 zai2
眼睏	ngaan5 han3
眼睏	ngaan5 kwan3
眼淚	ngaan5 leoi6
眼望望	ngaan5 mong6 mong6
眼溼溼	ngaan5 sap1 sap1
眼睡	ngaan5 seoi6
眼睛	ngaan5 zing1
硬幣	ngaang6 bai6
咬脣	ngaau5 seon4
危	ngai4
危地馬拉	ngai4 dei6 maa5 laai1
危險	ngai4 him2
蟻	ngai5
藝人	ngai6 jan4
藝術家	ngai6 seot6 gaa1
僞裝	ngai6 zong1
銀	ngan2
銀仔	ngan2 zai2
銀髮	ngan4 faat3
銀髮男	ngan4 faat3 naam4
銀髮女	ngan4 faat3 neoi5
銀河	ngan4 ho4
銀河系	ngan4 ho4 hai6
銀漢	ngan4 hon3
銀行	ngan4 hong4
銀行卡	ngan4 hong4 kaa1
銀行卡	ngan4 hong4 kaat1
銀行咭	ngan4 hong4 kaat1
銀牌	ngan4 paai4
銀紙	ngan4 zi2
岌	ngap6
岌頭	ngap6 tau4
勾	ngau1
鉤	ngau1
勾號	ngau1 hou6
勾選	ngau1 syun2
牛	ngau4
牛角包	ngau4 gok3 baau1
牛角麪包	ngau4 gok3 min6 baau1
牛牯	ngau4 gu2
牛油	ngau4 jau4
牛油果	ngau4 jau4 gwo2
牛肉	ngau4 juk6
牛奶	ngau4 naai5
牛扒	ngau4 paa2
牛排	ngau4 paai4
牛頭	ngau4 tau4
牛仔	ngau4 zai2
牛仔褲	ngau4 zai2 fu3
鵝	ngo4
鵝肶	ngo4 bei2
鵝髀	ngo4 bei2
俄國	ngo4 gwok3
俄羅斯	ngo4 lo4 si1
峨眉月	ngo4 mei4 jyut6
鵝仔	ngo4 zai2
我諗	ngo5 nam2
外公	ngoi6 gung1
外賣	ngoi6 maai6
外賣盒	ngoi6 maai6 hap2
外賣盒	ngoi6 maai6 hap6
外婆	ngoi6 po4
